TargetName,MatrisomeDivision,MatrisomeCategory
SERPINA1,Matrisome-associated,ECM Regulators
FGF11,Matrisome-associated,Secreted Factors
MFAP1,Core matrisome,ECM Glycoproteins
TIMP4,Matrisome-associated,ECM Regulators
S100Z,Matrisome-associated,Secreted Factors
LTBP1,Core matrisome,ECM Glycoproteins
S100A6,Matrisome-associated,Secreted Factors
CRELD1,Core matrisome,ECM Glycoproteins
GAS6,Core matrisome,ECM Glycoproteins
TNFSF13,Matrisome-associated,Secreted Factors
CCN1,Core matrisome,ECM Glycoproteins
NTNG2,Core matrisome,ECM Glycoproteins
WNT2,Matrisome-associated,Secreted Factors
NODAL,Matrisome-associated,Secreted Factors
C1QL3,Matrisome-associated,ECM-affiliated Proteins
ADAMTS6,Matrisome-associated,ECM Regulators
PLOD1,Matrisome-associated,ECM Regulators
MFAP3,Core matrisome,ECM Glycoproteins
CELA2A,Matrisome-associated,ECM Regulators
COL1A2,Core matrisome,Collagens
ELFN2,Matrisome-associated,ECM-affiliated Proteins
VWA5B2,Core matrisome,ECM Glycoproteins
KNG1,Matrisome-associated,ECM Regulators
CRLF1,Matrisome-associated,Secreted Factors
S100A4,Matrisome-associated,Secreted Factors
IL36RN,Matrisome-associated,Secreted Factors
IL6,Matrisome-associated,Secreted Factors
PARM1,Matrisome-associated,ECM-affiliated Proteins
IL25,Matrisome-associated,Secreted Factors
GLDN,Core matrisome,ECM Glycoproteins
COL4A2,Core matrisome,Collagens
RELN,Core matrisome,ECM Glycoproteins
KITLG,Matrisome-associated,Secreted Factors
CCN2,Core matrisome,ECM Glycoproteins
VWF,Core matrisome,ECM Glycoproteins
MEGF10,Matrisome-associated,Secreted Factors
AGRN,Core matrisome,ECM Glycoproteins
GPC4,Matrisome-associated,ECM-affiliated Proteins
EMID1,Core matrisome,ECM Glycoproteins
C1QB,Matrisome-associated,ECM-affiliated Proteins
MDK,Matrisome-associated,Secreted Factors
IGF2,Matrisome-associated,Secreted Factors
IGFBP4,Core matrisome,ECM Glycoproteins
NELL2,Core matrisome,ECM Glycoproteins
ZFP91,Matrisome-associated,Secreted Factors
SMOC2,Core matrisome,ECM Glycoproteins
HTRA1,Matrisome-associated,ECM Regulators
FGF3,Matrisome-associated,Secreted Factors
IL13,Matrisome-associated,Secreted Factors
FAM20C,Matrisome-associated,ECM Regulators
CELA3A,Matrisome-associated,ECM Regulators
CXCL14,Matrisome-associated,Secreted Factors
IL34,Matrisome-associated,Secreted Factors
CCL3L3,Matrisome-associated,Secreted Factors
ADAMTSL5,Matrisome-associated,ECM Regulators
EBI3,Matrisome-associated,Secreted Factors
FGF1,Matrisome-associated,Secreted Factors
IL17F,Matrisome-associated,Secreted Factors
GDF11,Matrisome-associated,Secreted Factors
WNT9B,Matrisome-associated,Secreted Factors
ANXA8,Matrisome-associated,ECM-affiliated Proteins
GH1,Matrisome-associated,Secreted Factors
COL11A2,Core matrisome,Collagens
FGF2,Matrisome-associated,Secreted Factors
TGFB3,Matrisome-associated,Secreted Factors
IL18,Matrisome-associated,Secreted Factors
GREM1,Matrisome-associated,ECM-affiliated Proteins
HCFC2,Matrisome-associated,Secreted Factors
SPP1,Core matrisome,ECM Glycoproteins
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
CTSZ,Matrisome-associated,ECM Regulators
SFTPC,Matrisome-associated,ECM-affiliated Proteins
IGFBP5,Core matrisome,ECM Glycoproteins
COL16A1,Core matrisome,Collagens
CTSE,Matrisome-associated,ECM Regulators
TIMP1,Matrisome-associated,ECM Regulators
S100A13,Matrisome-associated,Secreted Factors
ANXA1,Matrisome-associated,ECM-affiliated Proteins
F12,Matrisome-associated,ECM Regulators
CXCL13,Matrisome-associated,Secreted Factors
WNT5B,Matrisome-associated,Secreted Factors
TIMP2,Matrisome-associated,ECM Regulators
SRGN,Core matrisome,Proteoglycans
EGLN2,Matrisome-associated,ECM Regulators
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
COL5A2,Core matrisome,Collagens
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
AMH,Matrisome-associated,Secreted Factors
CHADL,Core matrisome,Proteoglycans
INHBE,Matrisome-associated,Secreted Factors
HAPLN2,Core matrisome,Proteoglycans
SERPINA3,Matrisome-associated,ECM Regulators
TNFSF12,Matrisome-associated,Secreted Factors
LRG1,Core matrisome,ECM Glycoproteins
CST9L,Matrisome-associated,ECM Regulators
CRIM1,Core matrisome,ECM Glycoproteins
SDC3,Matrisome-associated,ECM-affiliated Proteins
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
BMP8B,Matrisome-associated,Secreted Factors
ISM1,Matrisome-associated,Secreted Factors
PGF,Matrisome-associated,Secreted Factors
SNED1,Core matrisome,ECM Glycoproteins
MUC21,Matrisome-associated,ECM-affiliated Proteins
CSHL1,Matrisome-associated,Secreted Factors
TNR,Core matrisome,ECM Glycoproteins
SERPING1,Matrisome-associated,ECM Regulators
CCL24,Matrisome-associated,Secreted Factors
ANXA6,Matrisome-associated,ECM-affiliated Proteins
SERPIND1,Matrisome-associated,ECM Regulators
MFGE8,Core matrisome,ECM Glycoproteins
IFNA5,Matrisome-associated,Secreted Factors
CCL19,Matrisome-associated,Secreted Factors
ADAM15,Matrisome-associated,ECM Regulators
NCAN,Core matrisome,Proteoglycans
CST4,Matrisome-associated,ECM Regulators
SERPINF1,Matrisome-associated,ECM Regulators
F7,Matrisome-associated,ECM Regulators
LOXL2,Matrisome-associated,ECM Regulators
ADAMTS1,Matrisome-associated,ECM Regulators
LTBP4,Core matrisome,ECM Glycoproteins
ANXA7,Matrisome-associated,ECM-affiliated Proteins
ADAM23,Matrisome-associated,ECM Regulators
CCL18,Matrisome-associated,Secreted Factors
SPOCK3,Core matrisome,Proteoglycans
AGT,Matrisome-associated,ECM Regulators
CSF1,Matrisome-associated,Secreted Factors
CST3,Matrisome-associated,ECM Regulators
LGI3,Core matrisome,ECM Glycoproteins
PCSK6,Matrisome-associated,ECM Regulators
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
FGF8,Matrisome-associated,Secreted Factors
FSTL3,Matrisome-associated,Secreted Factors
CSTB,Matrisome-associated,ECM Regulators
ANXA11,Matrisome-associated,ECM-affiliated Proteins
VEGFB,Matrisome-associated,Secreted Factors
SERPINB6,Matrisome-associated,ECM Regulators
LGALS1,Matrisome-associated,ECM-affiliated Proteins
WIF1,Matrisome-associated,Secreted Factors
FN1,Core matrisome,ECM Glycoproteins
PTN,Matrisome-associated,Secreted Factors
S100A7,Matrisome-associated,Secreted Factors
ANXA5,Matrisome-associated,ECM-affiliated Proteins
GDF1,Matrisome-associated,Secreted Factors
BMP1,Matrisome-associated,ECM Regulators
COL5A3,Core matrisome,Collagens
PRELP,Core matrisome,Proteoglycans
PRSS3,Matrisome-associated,ECM Regulators
FGF18,Matrisome-associated,Secreted Factors
CTSF,Matrisome-associated,ECM Regulators
TGFB2,Matrisome-associated,Secreted Factors
ITIH4,Matrisome-associated,ECM Regulators
S100A11,Matrisome-associated,Secreted Factors
SPARCL1,Core matrisome,ECM Glycoproteins
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
MST1,Matrisome-associated,Secreted Factors
TNFSF14,Matrisome-associated,Secreted Factors
IGFBP2,Core matrisome,ECM Glycoproteins
EMILIN1,Core matrisome,ECM Glycoproteins
NGLY1,Matrisome-associated,ECM Regulators
INTS6L,Core matrisome,ECM Glycoproteins
LGI4,Core matrisome,ECM Glycoproteins
WNT11,Matrisome-associated,Secreted Factors
LGI1,Core matrisome,ECM Glycoproteins
MASP2,Matrisome-associated,ECM Regulators
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
IGFBP7,Core matrisome,ECM Glycoproteins
MEGF9,Matrisome-associated,Secreted Factors
PDGFB,Matrisome-associated,Secreted Factors
SPOCK2,Core matrisome,Proteoglycans
COL4A1,Core matrisome,Collagens
ADAMTS10,Matrisome-associated,ECM Regulators
MUCL1,Matrisome-associated,ECM-affiliated Proteins
GDF5,Matrisome-associated,Secreted Factors
EGLN1,Matrisome-associated,ECM Regulators
ADAM22,Matrisome-associated,ECM Regulators
FGF13,Matrisome-associated,Secreted Factors
HAPLN4,Core matrisome,Proteoglycans
DPT,Core matrisome,ECM Glycoproteins
NRG1,Matrisome-associated,Secreted Factors
EMCN,Matrisome-associated,ECM-affiliated Proteins
LTBP3,Core matrisome,ECM Glycoproteins
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
DHH,Matrisome-associated,Secreted Factors
SPOCK1,Core matrisome,Proteoglycans
ANXA2,Matrisome-associated,ECM-affiliated Proteins
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
S100A10,Matrisome-associated,Secreted Factors
FREM1,Matrisome-associated,ECM-affiliated Proteins
MUC5B,Matrisome-associated,ECM-affiliated Proteins
BRINP2,Matrisome-associated,Secreted Factors
ADAMTS13,Matrisome-associated,ECM Regulators
VWA5A,Core matrisome,ECM Glycoproteins
CTSB,Matrisome-associated,ECM Regulators
TNF,Matrisome-associated,Secreted Factors
PPBP,Matrisome-associated,Secreted Factors
CCL8,Matrisome-associated,Secreted Factors
P4HA2,Matrisome-associated,ECM Regulators
SERPINB7,Matrisome-associated,ECM Regulators
BGN,Core matrisome,Proteoglycans
CBLN2,Matrisome-associated,Secreted Factors
GDF2,Matrisome-associated,Secreted Factors
ADAM32,Matrisome-associated,ECM Regulators
LMAN1,Matrisome-associated,ECM-affiliated Proteins
PLOD3,Matrisome-associated,ECM Regulators
MEGF11,Matrisome-associated,Secreted Factors
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
SLIT2,Core matrisome,ECM Glycoproteins
SERPINB1,Matrisome-associated,ECM Regulators
LAMA5,Core matrisome,ECM Glycoproteins
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
CCL26,Matrisome-associated,Secreted Factors
INHA,Matrisome-associated,Secreted Factors
GPC1,Matrisome-associated,ECM-affiliated Proteins
S100B,Matrisome-associated,Secreted Factors
COL18A1,Core matrisome,Collagens
IL24,Matrisome-associated,Secreted Factors
VWDE,Core matrisome,ECM Glycoproteins
FCN1,Matrisome-associated,ECM-affiliated Proteins
MUC3A,Matrisome-associated,ECM-affiliated Proteins
HSPG2,Core matrisome,Proteoglycans
ITIH5,Matrisome-associated,ECM Regulators
OGFOD2,Matrisome-associated,ECM Regulators
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
C1QC,Matrisome-associated,ECM-affiliated Proteins
TIMP3,Matrisome-associated,ECM Regulators
SDC4,Matrisome-associated,ECM-affiliated Proteins
LAMA1,Core matrisome,ECM Glycoproteins
SPON2,Core matrisome,ECM Glycoproteins
PF4,Matrisome-associated,Secreted Factors
LOXL4,Matrisome-associated,ECM Regulators
ELN,Core matrisome,ECM Glycoproteins
ASTL,Matrisome-associated,ECM Regulators
EFEMP1,Core matrisome,ECM Glycoproteins
DCN,Core matrisome,Proteoglycans
CRLF3,Matrisome-associated,Secreted Factors
CST8,Matrisome-associated,ECM Regulators
NPNT,Core matrisome,ECM Glycoproteins
VEGFC,Matrisome-associated,Secreted Factors
IL1F10,Matrisome-associated,Secreted Factors
MUC20,Matrisome-associated,ECM-affiliated Proteins
C1QL2,Matrisome-associated,ECM-affiliated Proteins
ADAM12,Matrisome-associated,ECM Regulators
GDF6,Matrisome-associated,Secreted Factors
BCAN,Core matrisome,Proteoglycans
C17orf58,Matrisome-associated,ECM Regulators
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
COL11A1,Core matrisome,Collagens
FBLN5,Core matrisome,ECM Glycoproteins
PLXND1,Matrisome-associated,ECM-affiliated Proteins
FGF17,Matrisome-associated,Secreted Factors
REG3A,Matrisome-associated,ECM-affiliated Proteins
ANXA9,Matrisome-associated,ECM-affiliated Proteins
MEGF8,Matrisome-associated,Secreted Factors
ELSPBP1,Core matrisome,ECM Glycoproteins
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
IFNA14,Matrisome-associated,Secreted Factors
S100A16,Matrisome-associated,Secreted Factors
WNT10B,Matrisome-associated,Secreted Factors
FGF14,Matrisome-associated,Secreted Factors
ADAMTS8,Matrisome-associated,ECM Regulators
CSH2,Matrisome-associated,Secreted Factors
BMP7,Matrisome-associated,Secreted Factors
ADAM11,Matrisome-associated,ECM Regulators
MMP28,Matrisome-associated,ECM Regulators
S100B,Matrisome-associated,Secreted Factors
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
FGF1,Matrisome-associated,Secreted Factors
THBS3,Core matrisome,ECM Glycoproteins
S100A6,Matrisome-associated,Secreted Factors
S100A16,Matrisome-associated,Secreted Factors
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
LOXL2,Matrisome-associated,ECM Regulators
BMP1,Matrisome-associated,ECM Regulators
FGF12,Matrisome-associated,Secreted Factors
TNF,Matrisome-associated,Secreted Factors
S100A10,Matrisome-associated,Secreted Factors
FBLN5,Core matrisome,ECM Glycoproteins
MUC3A,Matrisome-associated,ECM-affiliated Proteins
ELN,Core matrisome,ECM Glycoproteins
CTSA,Matrisome-associated,ECM Regulators
FGF8,Matrisome-associated,Secreted Factors
CCL24,Matrisome-associated,Secreted Factors
SPARCL1,Core matrisome,ECM Glycoproteins
LOXL4,Matrisome-associated,ECM Regulators
ADAM11,Matrisome-associated,ECM Regulators
PGF,Matrisome-associated,Secreted Factors
SERPINI1,Matrisome-associated,ECM Regulators
CXCL3,Matrisome-associated,Secreted Factors
ADAMTS13,Matrisome-associated,ECM Regulators
BMP7,Matrisome-associated,Secreted Factors
TIMP3,Matrisome-associated,ECM Regulators
FCN1,Matrisome-associated,ECM-affiliated Proteins
NRG1,Matrisome-associated,Secreted Factors
WNT8A,Matrisome-associated,Secreted Factors
CTSB,Matrisome-associated,ECM Regulators
IGF1,Matrisome-associated,Secreted Factors
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
GDF5,Matrisome-associated,Secreted Factors
C1QL2,Matrisome-associated,ECM-affiliated Proteins
TGFB3,Matrisome-associated,Secreted Factors
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
WNT2,Matrisome-associated,Secreted Factors
MUC21,Matrisome-associated,ECM-affiliated Proteins
CCL3,Matrisome-associated,Secreted Factors
CELA3A,Matrisome-associated,ECM Regulators
CSH2,Matrisome-associated,Secreted Factors
CCL2,Matrisome-associated,Secreted Factors
CCL19,Matrisome-associated,Secreted Factors
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
IL25,Matrisome-associated,Secreted Factors
IFNA16,Matrisome-associated,Secreted Factors
MEGF10,Matrisome-associated,Secreted Factors
HCFC2,Matrisome-associated,Secreted Factors
COL1A2,Core matrisome,Collagens
ADAM32,Matrisome-associated,ECM Regulators
WNT11,Matrisome-associated,Secreted Factors
SPOCK3,Core matrisome,Proteoglycans
EMCN,Matrisome-associated,ECM-affiliated Proteins
ADAM12,Matrisome-associated,ECM Regulators
GDF1,Matrisome-associated,Secreted Factors
HHIP,Matrisome-associated,Secreted Factors
COL9A2,Core matrisome,Collagens
INTS6L,Core matrisome,ECM Glycoproteins
FLT3LG,Matrisome-associated,Secreted Factors
SERPINH1,Matrisome-associated,ECM Regulators
CST3,Matrisome-associated,ECM Regulators
HAPLN4,Core matrisome,Proteoglycans
FGF21,Matrisome-associated,Secreted Factors
F7,Matrisome-associated,ECM Regulators
CTSD,Matrisome-associated,ECM Regulators
ZFP91,Matrisome-associated,Secreted Factors
VEGFC,Matrisome-associated,Secreted Factors
CST6,Matrisome-associated,ECM Regulators
LGI1,Core matrisome,ECM Glycoproteins
PLXND1,Matrisome-associated,ECM-affiliated Proteins
VWDE,Core matrisome,ECM Glycoproteins
IL24,Matrisome-associated,Secreted Factors
CELA2A,Matrisome-associated,ECM Regulators
ELFN2,Matrisome-associated,ECM-affiliated Proteins
MEGF8,Matrisome-associated,Secreted Factors
GAS6,Core matrisome,ECM Glycoproteins
COL16A1,Core matrisome,Collagens
ADAM22,Matrisome-associated,ECM Regulators
PDGFB,Matrisome-associated,Secreted Factors
FGF6,Matrisome-associated,Secreted Factors
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
P4HTM,Matrisome-associated,ECM Regulators
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
ANXA11,Matrisome-associated,ECM-affiliated Proteins
VEGFD,Matrisome-associated,Secreted Factors
LGI3,Core matrisome,ECM Glycoproteins
C1QC,Matrisome-associated,ECM-affiliated Proteins
CTSZ,Matrisome-associated,ECM Regulators
C17orf58,Matrisome-associated,ECM Regulators
EGLN2,Matrisome-associated,ECM Regulators
BMP8B,Matrisome-associated,Secreted Factors
CSTB,Matrisome-associated,ECM Regulators
INHA,Matrisome-associated,Secreted Factors
SLIT2,Core matrisome,ECM Glycoproteins
PCOLCE,Core matrisome,ECM Glycoproteins
ANXA5,Matrisome-associated,ECM-affiliated Proteins
PF4,Matrisome-associated,Secreted Factors
BRINP2,Matrisome-associated,Secreted Factors
CST4,Matrisome-associated,ECM Regulators
RELN,Core matrisome,ECM Glycoproteins
S100Z,Matrisome-associated,Secreted Factors
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
ITIH4,Matrisome-associated,ECM Regulators
CTSE,Matrisome-associated,ECM Regulators
COL11A2,Core matrisome,Collagens
AGRN,Core matrisome,ECM Glycoproteins
LTBP4,Core matrisome,ECM Glycoproteins
COL5A2,Core matrisome,Collagens
WNT9B,Matrisome-associated,Secreted Factors
LGALS1,Matrisome-associated,ECM-affiliated Proteins
S100A1,Matrisome-associated,Secreted Factors
FGF4,Matrisome-associated,Secreted Factors
LTBP3,Core matrisome,ECM Glycoproteins
GREM1,Matrisome-associated,ECM-affiliated Proteins
SFRP2,Matrisome-associated,Secreted Factors
SMOC2,Core matrisome,ECM Glycoproteins
HYAL2,Matrisome-associated,ECM Regulators
IFNA4,Matrisome-associated,Secreted Factors
PLOD1,Matrisome-associated,ECM Regulators
IGFBP2,Core matrisome,ECM Glycoproteins
CXCL13,Matrisome-associated,Secreted Factors
LRG1,Core matrisome,ECM Glycoproteins
COL4A2,Core matrisome,Collagens
IGFBP4,Core matrisome,ECM Glycoproteins
PTN,Matrisome-associated,Secreted Factors
ANXA9,Matrisome-associated,ECM-affiliated Proteins
IFNA14,Matrisome-associated,Secreted Factors
MEGF11,Matrisome-associated,Secreted Factors
IL6,Matrisome-associated,Secreted Factors
SPARC,Core matrisome,ECM Glycoproteins
SLIT1,Core matrisome,ECM Glycoproteins
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
NTNG1,Core matrisome,ECM Glycoproteins
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
COL6A1,Core matrisome,Collagens
ADAMTS1,Matrisome-associated,ECM Regulators
VWF,Core matrisome,ECM Glycoproteins
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
TNFSF12,Matrisome-associated,Secreted Factors
COL11A1,Core matrisome,Collagens
AEBP1,Core matrisome,ECM Glycoproteins
MASP2,Matrisome-associated,ECM Regulators
IGFBP5,Core matrisome,ECM Glycoproteins
ANXA1,Matrisome-associated,ECM-affiliated Proteins
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
HAPLN2,Core matrisome,Proteoglycans
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
BGN,Core matrisome,Proteoglycans
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
HTRA1,Matrisome-associated,ECM Regulators
SFTPC,Matrisome-associated,ECM-affiliated Proteins
EMID1,Core matrisome,ECM Glycoproteins
IGFBP7,Core matrisome,ECM Glycoproteins
TNXB,Core matrisome,ECM Glycoproteins
FAM20C,Matrisome-associated,ECM Regulators
ELSPBP1,Core matrisome,ECM Glycoproteins
C1QL3,Matrisome-associated,ECM-affiliated Proteins
ADAMTS10,Matrisome-associated,ECM Regulators
IL13,Matrisome-associated,Secreted Factors
FN1,Core matrisome,ECM Glycoproteins
BMP3,Matrisome-associated,Secreted Factors
PCSK6,Matrisome-associated,ECM Regulators
SPON2,Core matrisome,ECM Glycoproteins
MUC5B,Matrisome-associated,ECM-affiliated Proteins
P4HA2,Matrisome-associated,ECM Regulators
ANXA6,Matrisome-associated,ECM-affiliated Proteins
POMZP3,Core matrisome,ECM Glycoproteins
LMAN1,Matrisome-associated,ECM-affiliated Proteins
SERPING1,Matrisome-associated,ECM Regulators
MFAP1,Core matrisome,ECM Glycoproteins
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
IL7,Matrisome-associated,Secreted Factors
CBLN2,Matrisome-associated,Secreted Factors
A2M,Matrisome-associated,ECM Regulators
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
SERPINB6,Matrisome-associated,ECM Regulators
EDIL3,Core matrisome,ECM Glycoproteins
WIF1,Matrisome-associated,Secreted Factors
FBN3,Core matrisome,ECM Glycoproteins
GPC4,Matrisome-associated,ECM-affiliated Proteins
COL27A1,Core matrisome,Collagens
FGF18,Matrisome-associated,Secreted Factors
ITIH5,Matrisome-associated,ECM Regulators
ADAMTS8,Matrisome-associated,ECM Regulators
ADAM15,Matrisome-associated,ECM Regulators
SERPINE2,Matrisome-associated,ECM Regulators
NTNG2,Core matrisome,ECM Glycoproteins
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
SDC4,Matrisome-associated,ECM-affiliated Proteins
ADAM9,Matrisome-associated,ECM Regulators
GDF2,Matrisome-associated,Secreted Factors
CCL3L3,Matrisome-associated,Secreted Factors
DPT,Core matrisome,ECM Glycoproteins
MFAP3,Core matrisome,ECM Glycoproteins
S100A13,Matrisome-associated,Secreted Factors
GLDN,Core matrisome,ECM Glycoproteins
S100A11,Matrisome-associated,Secreted Factors
MEGF9,Matrisome-associated,Secreted Factors
IL36RN,Matrisome-associated,Secreted Factors
TNFSF14,Matrisome-associated,Secreted Factors
SERPINA1,Matrisome-associated,ECM Regulators
ADAMTS6,Matrisome-associated,ECM Regulators
ANXA8,Matrisome-associated,ECM-affiliated Proteins
EGLN1,Matrisome-associated,ECM Regulators
SPOCK2,Core matrisome,Proteoglycans
ADAMTS4,Matrisome-associated,ECM Regulators
WNT3,Matrisome-associated,Secreted Factors
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
FSTL3,Matrisome-associated,Secreted Factors
EGFL7,Matrisome-associated,Secreted Factors
MDK,Matrisome-associated,Secreted Factors
CRLF3,Matrisome-associated,Secreted Factors
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
ADAMTSL5,Matrisome-associated,ECM Regulators
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
CCL18,Matrisome-associated,Secreted Factors
S100A4,Matrisome-associated,Secreted Factors
TIMP4,Matrisome-associated,ECM Regulators
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
SBSPON,Core matrisome,ECM Glycoproteins
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
LAMA5,Core matrisome,ECM Glycoproteins
CRLF1,Matrisome-associated,Secreted Factors
FGF13,Matrisome-associated,Secreted Factors
LAMA1,Core matrisome,ECM Glycoproteins
GDF11,Matrisome-associated,Secreted Factors
EGLN3,Matrisome-associated,ECM Regulators
CSPG4,Matrisome-associated,ECM-affiliated Proteins
FGF3,Matrisome-associated,Secreted Factors
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
TNFSF13,Matrisome-associated,Secreted Factors
ADAM23,Matrisome-associated,ECM Regulators
INHBE,Matrisome-associated,Secreted Factors
PLOD3,Matrisome-associated,ECM Regulators
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
CCL8,Matrisome-associated,Secreted Factors
NCAN,Core matrisome,Proteoglycans
TIMP2,Matrisome-associated,ECM Regulators
SDC3,Matrisome-associated,ECM-affiliated Proteins
SPP1,Core matrisome,ECM Glycoproteins
IFNA5,Matrisome-associated,Secreted Factors
LTBP1,Core matrisome,ECM Glycoproteins
ANXA7,Matrisome-associated,ECM-affiliated Proteins
BCAN,Core matrisome,Proteoglycans
COL5A3,Core matrisome,Collagens
SNED1,Core matrisome,ECM Glycoproteins
WNT10A,Matrisome-associated,Secreted Factors
IGF2,Matrisome-associated,Secreted Factors
LGI4,Core matrisome,ECM Glycoproteins
COL4A1,Core matrisome,Collagens
CST9L,Matrisome-associated,ECM Regulators
CCN2,Core matrisome,ECM Glycoproteins
DCN,Core matrisome,Proteoglycans
SPOCK1,Core matrisome,Proteoglycans
F12,Matrisome-associated,ECM Regulators
AMH,Matrisome-associated,Secreted Factors
CXCL14,Matrisome-associated,Secreted Factors
KNG1,Matrisome-associated,ECM Regulators
CRIM1,Core matrisome,ECM Glycoproteins
TNR,Core matrisome,ECM Glycoproteins
ADAMTS3,Matrisome-associated,ECM Regulators
GDF6,Matrisome-associated,Secreted Factors
WNT5B,Matrisome-associated,Secreted Factors
FGF2,Matrisome-associated,Secreted Factors
PRSS3,Matrisome-associated,ECM Regulators
VWA5A,Core matrisome,ECM Glycoproteins
PRELP,Core matrisome,Proteoglycans
IL1F10,Matrisome-associated,Secreted Factors
SERPINF1,Matrisome-associated,ECM Regulators
MST1,Matrisome-associated,Secreted Factors
CTSF,Matrisome-associated,ECM Regulators
CSHL1,Matrisome-associated,Secreted Factors
VEGFB,Matrisome-associated,Secreted Factors
REG3A,Matrisome-associated,ECM-affiliated Proteins
SERPINB1,Matrisome-associated,ECM Regulators
HSPG2,Core matrisome,Proteoglycans
SERPIND1,Matrisome-associated,ECM Regulators
CCL26,Matrisome-associated,Secreted Factors
VWA5B2,Core matrisome,ECM Glycoproteins
PARM1,Matrisome-associated,ECM-affiliated Proteins
EMILIN1,Core matrisome,ECM Glycoproteins
COL18A1,Core matrisome,Collagens
EFEMP1,Core matrisome,ECM Glycoproteins
C1QB,Matrisome-associated,ECM-affiliated Proteins
NPNT,Core matrisome,ECM Glycoproteins
SERPINB7,Matrisome-associated,ECM Regulators
WNT10B,Matrisome-associated,Secreted Factors
OGFOD2,Matrisome-associated,ECM Regulators
COL6A2,Core matrisome,Collagens
ASTL,Matrisome-associated,ECM Regulators
MATN4,Core matrisome,ECM Glycoproteins
CHADL,Core matrisome,Proteoglycans
P4HA1,Matrisome-associated,ECM Regulators
ANXA2,Matrisome-associated,ECM-affiliated Proteins
NODAL,Matrisome-associated,Secreted Factors
FGF17,Matrisome-associated,Secreted Factors
IFNA13,Matrisome-associated,Secreted Factors
MUCL1,Matrisome-associated,ECM-affiliated Proteins
IL34,Matrisome-associated,Secreted Factors
CX3CL1,Matrisome-associated,Secreted Factors
IL18,Matrisome-associated,Secreted Factors
AGT,Matrisome-associated,ECM Regulators
EBI3,Matrisome-associated,Secreted Factors
CST8,Matrisome-associated,ECM Regulators
ISM1,Matrisome-associated,Secreted Factors
PPBP,Matrisome-associated,Secreted Factors
CCN1,Core matrisome,ECM Glycoproteins
DHH,Matrisome-associated,Secreted Factors
TGFB2,Matrisome-associated,Secreted Factors
LTA,Matrisome-associated,Secreted Factors
KITLG,Matrisome-associated,Secreted Factors
FGF14,Matrisome-associated,Secreted Factors
FGF11,Matrisome-associated,Secreted Factors
MUC12,Matrisome-associated,ECM-affiliated Proteins
CSF1,Matrisome-associated,Secreted Factors
MUC20,Matrisome-associated,ECM-affiliated Proteins
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
CRELD1,Core matrisome,ECM Glycoproteins
FREM1,Matrisome-associated,ECM-affiliated Proteins
MFGE8,Core matrisome,ECM Glycoproteins
S100A7,Matrisome-associated,Secreted Factors
MMP28,Matrisome-associated,ECM Regulators
GH1,Matrisome-associated,Secreted Factors
